27566,1,18,30,0,128,11542,507,84,386,0,81,0,14562,2,6,2,0,0,151,538,22,380,224,0,1,4,717,13261,4381,0,0,323,268,0,128,16,191,49,54,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0
1,11713,841,0,0,1,7,0,480,0,11,2,33,0,1,286,547,10,178,0,25,6162,216,330,1848,1439,16450,57,6,5,2,0,2,195,2,231,1066,563,226,14,11,0,167,526,211,127,3,0,0,0,2160,395,0,0,0,0,0,6,0,5,0,8,0,0,49,175,2,73,0,10,1216,200,8,69,472,2354,2,1,5,1,0,0,57,1
18,841,64365,0,0,1,28,0,6,0,1,0,18,7,13,140,10385,1,253,0,982,572,21756,38,4,17528,23230,117,307,842,0,0,39,2073,12,1766,4307,3862,1916,132,75,1,46,250,70,39,0,1,0,0,255,250,0,0,0,0,0,2,0,0,0,0,0,0,39,34,0,1,0,2,376,115,1,3,22,962,1,0,0,0,0,0,13,1
30,0,0,37105,0,99,159,19,245,5847,0,2745,0,47,2,0,0,0,0,21224,0,1,0,4584,0,0,0,14099,121,14,0,0,16,46,0,21,0,30,15,37,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,70,0,0,11,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1969,1146,0,169,12,2,2,4,0,6,1937,0,2,0,0,0,2,0,2,4,0,1,3,1,66,0,0,826,0,216,186,24,6,4,16,2816,1430,0,7,10,7,14,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55
128,1,1,99,1146,88268,3327,23481,117,17554,136,12432,42,3235,1789,0,13,26,34,429,16,9,1,350,5,36,8,1340,4125,130,0,2418,51,1849,1,221,45,1676,105,4305,2080,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11542,7,28,159,0,3327,192957,5411,1081,15887,0,527,10,15678,71,36,2,0,0,301,1450,300,505,4110,0,0,23,40513,5931,26837,0,0,809,1415,5,862,48,1223,352,649,32,0,6,0,0,0,6,0,0,0,0,0,0,0,0,5,0,231,0,0,6,0,0,0,1,0,0,0,0,1,48,0,183,0,0,0,10,0,1,0,0,1,0,0
507,0,0,19,169,23481,5411,80949,58,7442,85,972,27,28589,105,1,9,18,27,178,57,11,24,180,1,25,6,634,7044,606,0,2939,84,1508,2,136,35,1125,67,1229,1313,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
84,480,6,245,12,117,1081,58,34891,346,0,4006,3,135,1567,175,6,0,0,548,98,8940,90,27912,0,3,330,2661,523,227,0,0,137,206,0,536,85,219,86,3530,4,0,153,3,42,16,297,0,0,21,3,1,160,0,5,148,4,3885,41,0,237,0,13,13,17,0,0,0,46,21,201,10,2468,0,0,3,414,79,57,0,0,28,33,0
386,0,0,5847,2,17554,15887,7442,346,205778,0,10467,4,5555,101,0,0,0,0,13830,9,10,6,1895,0,0,0,15464,2958,184,0,14,244,1134,1,319,3,944,148,900,46,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
0,11,1,0,2,136,0,85,0,0,78691,21,11645,69,14,0,117,12368,6022,0,0,0,2,0,2573,9398,987,0,471,0,1895,38,0,13510,0,37,4824,6028,104,201,124,1770,0,558,73,1,0,0,33,0,11,0,0,0,0,0,0,0,0,236,0,726,0,0,0,1,78,21,0,0,1,0,0,235,243,174,0,1,0,144,0,0,29,0
81,2,0,2745,4,12432,527,972,4006,10467,21,113765,9,1789,1615,1,1,2,4,29592,5,31,3,4366,0,1,1,3786,2395,24,0,15,77,1580,5,555,16,1461,202,6267,42,2,14,0,0,0,36,0,0,1,0,0,25,0,0,10,0,112,1,0,25,0,0,0,0,0,0,0,2,0,0,0,221,0,0,0,15,1,0,0,0,0,0,0
0,33,18,0,0,42,10,27,3,4,11645,9,31332,12,12,11,22,337,58,2,64,9,128,15,10749,1063,4528,25,80,12,3130,17,0,2327,61,2817,3074,2509,1974,660,1798,2456,305,1072,361,254,17,28,112,0,19,1,0,1,9,0,9,0,0,337,0,1207,4,2,0,4,108,27,0,0,0,0,1,421,495,349,0,11,0,293,2,0,360,13
14562,0,7,47,6,3235,15678,28589,135,5555,69,1789,12,84147,96,1,11,8,27,464,488,28,298,448,1,10,5,1210,21628,3441,0,712,250,1960,1,228,34,1153,79,1179,360,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,13,2,1937,1789,71,105,1567,101,14,1615,12,96,10775,8,13,3,8,19,44,25,46,347,0,15,17,65,142,20,0,11,7,141,1636,397,118,358,204,14469,67,1,41,39,33,73,46,4,0,0,0,0,0,3,0,2,0,10,0,0,0,0,0,25,0,2,0,0,0,0,1,0,19,0,0,1,0,0,2,0,0,0,2,370
