13567,16,173,106,2,188,8038,1790,469,812,8,135,9,13263,17,15,263,2,31,150,424,136,490,1044,3,90,183,922,15067,5849,0,30,165,579,68,582,86,550,87,119,47,9,122,4,55,16,60,14,0,36,1,10,25,0,15,173,47,120,34,0,37,1,77,5,11,0,0,0,28,9,18,20,304,1,1,19,154,88,76,0,0,6,30,17
16,7791,413,3,0,2,60,6,680,1,50,1,80,17,3,346,302,14,69,0,106,4935,413,702,1766,589,11856,164,30,89,18,0,8,162,32,307,462,406,137,27,11,18,97,294,142,70,8,4,1,2,761,277,0,0,0,11,1,7,1,11,2,6,5,0,48,82,26,85,1,22,153,117,18,27,545,2122,8,9,21,1,0,0,49,23
173,413,44997,6,0,9,902,72,59,45,86,3,74,178,0,342,3215,42,420,4,2148,620,22292,191,34,15822,23207,1234,180,1841,9,2,13,1391,245,2128,3241,3910,1198,189,83,31,222,506,302,191,24,12,0,14,188,791,0,0,1,59,6,17,2,8,2,12,7,0,268,150,11,65,0,56,215,589,56,9,455,2757,52,12,59,2,0,2,82,157
106,3,6,23619,5,230,1005,345,874,6875,4,2316,2,373,69,3,2,0,1,27257,22,21,29,5251,0,8,12,15889,323,53,0,9,37,90,37,287,24,158,22,265,32,5,27,0,13,4,196,8,0,22,1,0,229,0,57,177,83,255,216,0,226,0,66,43,1,0,0,0,190,1,11,3,507,0,0,2,156,28,12,0,1,0,8,5
2,0,0,5,5974,3449,8,2278,26,12,13,41,8,224,2635,0,0,1,1,0,1,0,0,7,0,2,0,4,801,5,0,4289,0,985,5,30,4,107,10,6226,4388,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
188,2,9,230,3449,86004,2659,38762,186,33481,66,13940,43,4817,3527,1,9,4,11,1690,40,4,43,863,3,19,15,477,2711,86,1,1814,16,1170,46,692,52,825,58,6545,1684,59,21,0,16,6,56,3,1,11,1,0,48,0,13,81,37,64,55,0,87,1,27,12,0,1,0,0,43,2,4,1,149,0,0,1,75,24,15,0,0,3,10,10
8038,60,902,1005,8,2659,98727,5808,2378,20802,18,496,43,13266,89,163,391,4,36,573,3114,588,3292,7415,7,279,633,31154,4947,21557,0,65,481,1280,376,2789,381,2128,390,827,266,17,609,50,304,102,306,62,3,228,3,36,233,1,133,911,342,743,275,3,300,0,467,43,97,5,0,0,248,60,98,140,1592,1,4,93,736,455,384,0,3,41,161,111
1790,6,72,345,2278,38762,5808,125089,622,13331,100,4040,82,47517,1181,10,85,11,20,1327,221,87,253,2384,8,78,81,1304,5684,888,0,3551,98,1903,91,1021,116,1327,131,3685,3181,120,118,2,79,24,129,10,0,64,2,5,141,1,64,338,125,226,161,3,168,0,140,30,4,0,1,0,149,7,16,12,503,0,1,12,242,112,76,0,0,9,27,19
469,680,59,874,26,186,2378,622,19987,546,12,2348,25,966,3527,246,40,0,11,416,233,7087,304,21376,114,55,644,3522,1323,1283,2,11,246,460,187,1485,195,862,131,4040,108,5,426,44,245,76,713,38,4,177,24,38,504,3,120,865,215,3279,402,9,627,3,297,245,80,8,1,0,418,92,357,101,2434,2,13,76,822,373,424,0,3,58,152,106
812,1,45,6875,12,33481,20802,13331,546,138992,17,14899,36,8327,142,10,23,1,3,19082,136,61,187,2438,0,40,56,9474,2363,236,1,87,118,756,127,1414,98,1057,113,1224,271,22,86,4,50,21,231,12,0,51,3,2,222,3,67,318,144,257,279,1,334,0,124,54,2,0,0,0,263,3,18,8,592,0,2,8,277,76,49,0,1,7,22,21
8,50,86,4,13,66,18,100,12,17,76371,20,38454,183,1,5,468,12881,7692,11,23,28,70,15,7339,17367,3102,19,285,25,5736,53,5,12469,39,363,7643,17982,600,59,53,4115,21,657,256,32,2,2,28,2,62,8,0,0,1,1,6,3,0,1436,1,1338,3,1,2,6,271,71,0,0,9,6,0,1515,848,1185,1,5,1,157,2,0,80,12
135,1,3,2316,41,13940,496,4040,2348,14899,20,73590,17,1998,3792,2,5,1,3,29471,9,8,11,1612,0,8,4,890,1003,37,0,69,20,488,31,665,29,485,39,6105,145,16,14,2,8,5,356,3,0,8,0,0,125,1,32,91,51,161,117,0,282,0,26,99,1,0,0,0,150,1,3,2,265,0,0,0,69,11,4,0,0,1,8,8
9,80,74,2,8,43,43,82,25,36,38454,17,44960,93,3,28,94,885,463,10,109,62,269,58,11866,4001,6395,74,175,77,4916,39,16,3239,205,3249,6279,7114,1201,424,2297,7619,97,574,262,53,10,11,69,2,62,11,0,0,2,6,5,11,1,1360,1,1503,7,0,23,6,203,45,0,3,12,20,15,1490,692,949,13,11,9,129,3,0,70,108
13263,17,178,373,224,4817,13266,47517,966,8327,183,1998,93,75978,272,30,214,14,52,1001,458,146,547,2718,12,146,204,2066,23448,2970,5,2794,318,3781,176,1635,194,2287,189,2375,2241,116,172,14,120,38,135,30,1,83,2,7,107,0,41,424,151,318,162,5,162,1,164,24,18,0,0,0,108,17,32,16,650,1,4,28,297,182,137,0,1,17,42,43
17,3,0,69,2635,3527,89,1181,3527,142,1,3792,3,272,7281,1,2,0,3,84,1,36,5,383,1,2,6,114,133,19,0,21,10,59,3,66,5,49,2,14156,388,2,7,1,2,1,48,1,1,3,0,0,14,2,7,14,6,33,13,0,24,0,8,16,2,0,0,0,16,1,1,1,41,0,0,1,19,3,3,0,0,0,2,3
15,346,342,3,0,1,163,10,246,10,5,2,28,30,1,34013,146,4,19,4,4809,7225,17211,2827,27,145,9445,2119,49,327,1,0,12,334,234,1528,1378,1146,520,181,42,11,428,354,360,234,44,24,0,19,27,227,1,0,4,154,6,80,6,5,2,1,25,1,1455,34,1,8,0,264,597,2058,185,1,47,718,182,34,166,0,0,7,136,160
263,302,3215,2,0,9,391,85,40,23,468,5,94,214,2,146,26341,160,5757,1,1865,239,11256,117,39,6774,6967,399,404,2149,24,3,34,5417,165,1275,2427,4188,893,98,68,16,118,271,158,86,14,10,0,2,150,310,2,0,0,26,6,12,0,16,0,7,3,0,74,65,9,59,0,24,69,153,22,18,412,1455,18,4,24,2,0,3,39,97
2,14,42,0,1,4,4,11,0,1,12881,1,885,14,0,4,160,10878,8554,0,2,9,42,6,399,9093,1128,6,23,15,347,3,1,1108,11,167,2121,2934,174,4,7,74,8,132,75,14,2,0,4,0,22,4,0,0,0,0,1,0,0,145,1,137,0,0,1,3,91,35,0,0,2,2,0,171,314,408,0,1,0,19,0,0,23,14
31,69,420,1,1,11,36,20,11,3,7692,3,463,52,3,19,5757,8554,26810,2,125,36,493,14,250,12086,3177,47,95,179,179,10,4,5042,80,832,3376,6503,805,29,39,48,35,247,111,38,3,1,4,0,79,52,0,0,1,2,1,3,0,94,0,59,1,0,12,14,112,96,0,2,8,25,2,159,594,931,2,1,5,20,0,0,35,53
150,0,4,27257,0,1690,573,1327,416,19082,11,29471,10,1001,84,4,1,0,2,18758,17,6,20,3405,0,2,10,4718,628,40,0,25,30,210,49,460,34,301,28,492,82,5,54,2,19,6,224,6,1,20,0,0,211,1,71,187,72,213,191,1,333,0,85,64,1,0,0,0,235,1,14,2,418,0,0,2,174,39,13,0,0,3,10,9
424,106,2148,22,1,40,3114,221,233,136,23,9,109,458,1,4809,1865,2,125,17,81471,1331,37294,1222,9,717,1830,15837,680,26923,2,3,108,7029,949,4000,1343,6007,1323,598,194,46,291,123,168,182,57,26,1,52,11,95,2,1,5,156,15,123,1,2,4,4,51,3,353,15,2,6,4,149,254,363,269,0,22,288,161,116,205,0,0,13,87,414
136,4935,620,21,0,4,588,87,7087,61,28,8,62,146,36,7225,239,9,36,6,1331,17222,3902,11114,419,295,8519,1954,340,838,4,2,86,529,339,1831,1222,1477,554,238,70,13,483,374,366,222,56,26,1,34,56,301,10,0,5,169,28,189,11,8,10,6,46,4,1254,52,2,15,4,243,1372,1400,311,6,79,1184,230,67,218,0,0,15,180,205
490,413,22292,29,0,43,3292,253,304,187,70,11,269,547,5,17211,11256,42,493,20,37294,3902,154263,1484,28,4385,25513,8593,742,9389,8,11,117,7284,1635,8812,6931,12690,4273,1358,372,91,796,930,790,593,132,51,2,30,89,874,2,1,5,310,21,157,12,10,3,9,41,3,2501,120,7,29,4,356,901,4040,291,4,199,2512,265,63,261,0,0,13,243,913
1044,702,191,5251,7,863,7415,2384,21376,2438,15,1612,58,2718,383,2827,117,6,14,3405,1222,11114,1484,76219,94,113,1396,24980,3006,2878,3,29,570,1222,484,3749,573,2039,358,1505,286,18,1134,125,621,192,717,138,5,409,23,59,609,6,224,1842,609,1861,677,14,789,9,881,165,307,12,1,2,626,184,310,329,3288,1,14,149,1513,786,756,0,9,87,351,220
